patient_id,stromal,neoplastic,inflammatory,benign epithelial,necrotic,no label
TCGA-J4-A67O-01Z-00-DX1,425431,641988,27126,50758,5951,4786
TCGA-YL-A8SH-01Z-00-DX2,438609,476342,59036,15644,7553,4467
TCGA-HC-8266-01Z-00-DX1,43234,15915,15758,4030,1501,729
TCGA-X4-A8KQ-01Z-00-DX2,308370,209051,58479,27443,3536,5111
TCGA-HC-7752-01Z-00-DX1,48466,64770,5828,3739,3476,1248
TCGA-EJ-5524-01Z-00-DX1,484426,293889,144718,89764,13156,3705
TCGA-EJ-5494-01Z-00-DX1,451102,360775,135284,33487,28232,5107
TCGA-G9-6384-01Z-00-DX1,134665,37575,10747,4254,1810,635
TCGA-HC-A8D1-01Z-00-DX1,19674,57066,3295,2207,1435,729
TCGA-EJ-7794-01Z-00-DX1,78550,104311,15303,5710,4040,1671
TCGA-M7-A725-01Z-00-DX1,94061,183539,11158,3088,1025,2272
TCGA-EJ-7783-01Z-00-DX1,274088,877196,59698,37499,11870,6847
TCGA-V1-A8WV-01Z-00-DX1,225703,81618,37004,3684,2684,924
TCGA-EJ-A46E-01Z-00-DX1,179324,306274,31699,45076,2607,2310
TCGA-VP-A876-01Z-00-DX1,853007,1248292,79254,52686,18008,21060
TCGA-G9-6364-01Z-00-DX1,150287,191669,26566,3161,4036,1703
TCGA-CH-5743-01Z-00-DX1,104299,133405,28532,5230,10017,4237
TCGA-FC-A4JI-01Z-00-DX1,105059,613331,111952,14121,36847,2832
TCGA-HC-7741-01Z-00-DX1,103771,32954,13666,41621,1622,2149
TCGA-HC-8264-01Z-00-DX1,38487,53571,10119,6278,1957,1239
TCGA-QU-A6IL-01Z-00-DX1,567290,146169,107347,54199,22205,8167
TCGA-EJ-5516-01Z-00-DX1,419980,378801,39304,19897,11469,4182
TCGA-G9-6496-01Z-00-DX1,37071,34436,7843,4350,966,746
TCGA-V1-A9OQ-01Z-00-DX1,349554,311729,35169,12498,3581,3064
TCGA-KK-A6E2-01Z-00-DX1,295108,194030,29065,8034,6652,2801
TCGA-HC-7209-01Z-00-DX1,15748,52006,2204,6649,1676,1014
TCGA-EJ-7328-01Z-00-DX1,131304,111683,84950,48949,8752,2666
TCGA-X4-A8KQ-01Z-00-DX9,208262,51265,45335,13025,1929,1620
TCGA-EJ-5507-01Z-00-DX1,471558,559004,54229,43779,12273,3120
TCGA-EJ-5502-01Z-00-DX1,540654,529679,100011,65588,20690,7714
TCGA-G9-6371-01Z-00-DX1,360079,329915,43117,23762,6410,3626
TCGA-EJ-5510-01Z-00-DX1,551189,552208,83005,30539,10526,6813
TCGA-V1-A9Z7-01Z-00-DX1,319058,9335,19867,2511,1254,374
TCGA-G9-6333-01Z-00-DX1,220796,203928,34212,13659,7588,3057
TCGA-VP-A87E-01Z-00-DX1,504429,547888,205591,20877,57787,15031
TCGA-EJ-A46G-01Z-00-DX1,63030,32002,8619,1114,3590,449
TCGA-CH-5769-01Z-00-DX1,208602,58173,36311,9849,2868,4789
